Substructure	SMARTS	Index	Acid_or_base
Sulfate monoether	[SX4:0](=[O:1])(=[O:2])(-[O:3])-[OX2:4]-[H:5]	4	A
Sulfate monoether	[SX4:0](=[O:1])(=[O:2])(-[O:3])-[O-1:4]	4	B
Sulfonic acid	[SX4:0](=[O:1])(=[O:2])(-[#6,#7:3])-[OX2:4]-[H:5]	4	A
Sulfonic acid	[SX4:0](=[O:1])(=[O:2])(-[#6,#7:3])-[O-1:4]	4	B
Sulfinic acid	[SX3:0](=[O:1])(-[#6,#7:2])-[OX2:3]-[H:4]	3	A
Sulfinic acid	[SX3:0](=[O:1])(-[0#6,#7:2])-[O-1:3]	3	B
Seleninic acid	[SeX3:0](=[O:1])(-[#6,#7:2])-[OX2:3]-[H:4]	3	A
Seleninic acid	[SeX3:0](=[O:1])(-[#6,#7:2])-[O-1:3]	3	B
Selenenic acid	[SeX2:0]-[OX2:1]-[H:2]	1	A
Selenenic acid	[SeX2:0]-[O-1:1]	1	B
Arsonic acid	[AsX4:0](=[O:1])(-[#6,#7:2])-[OX2:3]-[H:4]	3	A
Arsonic acid	[AsX4:0](=[O:1])(-[#6,#7:2])-[O-1:3]	3	B
Thiosulfuric acid	[S:0]~[SX4:1](~[O:2])(~[O:3])-[O:4]-[H:5]	4	A
Thiosulfuric acid	[S:0]~[SX4:1](~[O:2])(~[O:3])-[O-1:4]	4	B
Phosph(o/i)nic acid	[PX4:0](=[O:1])(-[OX2:2]-[H:5])(-[#1,#6,#7,#8:3])(-[#1,#6,#7,#8:4])	2	A
Phosph(o/i)nic acid	[PX4:0](=[O:1])(-[O-1:2])(-[#1,#6,#7,#8:3])(-[#1,#6,#7,#8:4])	2	B
Phosphate (mono/di)ether	[PX4:0](=[O:1])(-[O:2])(-[O:3])-[OX2:4]-[H:5]	4	A
Phosphate (mono/di)ether	[PX4:0](=[O:1])(-[O:2])(-[O:3])-[O-1:4]	4	B
Carboxyl acid	[$([#6]=[#8,#7]),$(C#N):0]-[OX2:1]-[H:2]	1	A
Carboxyl acid	[$([#6]=[#8,#7]),$(C#N):0]-[O-1:1]	1	B
Carboxyl acid enol	[C:0]=[C:1](-[OX2:2]-[H:3])-[OX2:4]-[H:5]	4	A
Carboxyl acid enol	[C:0]=[C:1](-[OX2:2]-[H:3])-[O-1:4]	4	B
Carbo(di)thioic acid	[CX3:0](=[O,S:1])-[SX2,OX2:2]-[H:3]	2	A
Carbo(di)thioic acid	[CX3:0](=[O,S:1])-[S-1,O-1:2]	2	B
Carboxyl acid vinylogue 	[O:0]=[C:1]-[C:2]=[C:3]-[OX2:4]-[H:5]	4	A
